step_index,week_index,day_index,timestamp,persona_label,season_label,sunrise_minute,sunset_minute,cloudiness,time_of_day_norm,day_of_week,is_weekend,kitchen_light,bedroom_light,living_room_light,bathroom_light,hallway_light,office_light,dining_room_light,bedside_lamp,porch_light,tv_living_room,tv_bedroom,coffee_maker_plug,kettle_plug,microwave_plug,desk_monitor_plug,game_console_plug,washing_machine_plug,dryer_plug,dishwasher_plug,robot_vacuum_plug,space_heater_plug,person_home,front_door,motion_kitchen,motion_bedroom,motion_living_room,motion_bathroom,motion_hallway,motion_office,ambient_light_outdoor,ambient_light_bedroom,indoor_temperature_c
0,0,0,2024-02-12T00:00:00,gig_driver,winter,432,1008,0.787,0.0,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,18.79
1,0,0,2024-02-12T00:15:00,gig_driver,winter,432,1008,0.787,0.010416666666666666,0,False,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,nan,0,0,1,0,0,0.0,0.0,18.79
2,0,0,2024-02-12T00:30:00,gig_driver,winter,432,1008,0.787,0.020833333333333332,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.79
3,0,0,2024-02-12T00:45:00,gig_driver,winter,432,1008,0.787,0.03125,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04214690111905359,0.014751415391668755,18.79
4,0,0,2024-02-12T01:00:00,gig_driver,winter,432,1008,0.787,0.041666666666666664,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.062420986000300153,0.021847345100105053,18.8
5,0,0,2024-02-12T01:15:00,gig_driver,winter,432,1008,0.787,0.052083333333333336,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.81
6,0,0,2024-02-12T01:30:00,gig_driver,winter,432,1008,0.787,0.0625,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.81
7,0,0,2024-02-12T01:45:00,gig_driver,winter,432,1008,0.787,0.07291666666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.82
8,0,0,2024-02-12T02:00:00,gig_driver,winter,432,1008,0.787,0.08333333333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.83
9,0,0,2024-02-12T02:15:00,gig_driver,winter,432,1008,0.787,0.09375,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.020688425100616546,0.0072409487852157905,18.85
10,0,0,2024-02-12T02:30:00,gig_driver,winter,432,1008,0.787,0.10416666666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.006126925287701561,0.002144423850695546,18.86
11,0,0,2024-02-12T02:45:00,gig_driver,winter,432,1008,0.787,0.11458333333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.87
12,0,0,2024-02-12T03:00:00,gig_driver,winter,432,1008,0.787,0.125,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.041975591912581475,0.014691457169403515,18.89
13,0,0,2024-02-12T03:15:00,gig_driver,winter,432,1008,0.787,0.13541666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.03996555228911633,0.013987943301190714,18.91
14,0,0,2024-02-12T03:30:00,gig_driver,winter,432,1008,0.787,0.14583333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.92
15,0,0,2024-02-12T03:45:00,gig_driver,winter,432,1008,0.787,0.15625,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.94
16,0,0,2024-02-12T04:00:00,gig_driver,winter,432,1008,0.787,0.16666666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.062234702475159207,0.02178214586630572,18.96
17,0,0,2024-02-12T04:15:00,gig_driver,winter,432,1008,0.787,0.17708333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0035192424269127154,0.0012317348494194503,18.98
18,0,0,2024-02-12T04:30:00,gig_driver,winter,432,1008,0.787,0.1875,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.0
19,0,0,2024-02-12T04:45:00,gig_driver,winter,432,1008,0.787,0.19791666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05743730135180133,0.020103055473130464,19.02
20,0,0,2024-02-12T05:00:00,gig_driver,winter,432,1008,0.787,0.20833333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.05
21,0,0,2024-02-12T05:15:00,gig_driver,winter,432,1008,0.787,0.21875,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.07
22,0,0,2024-02-12T05:30:00,gig_driver,winter,432,1008,0.787,0.22916666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0060172267147172364,0.0021060293501510324,19.09
23,0,0,2024-02-12T05:45:00,gig_driver,winter,432,1008,0.787,0.23958333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.024261997139293688,0.00849169899875279,19.11
24,0,0,2024-02-12T06:00:00,gig_driver,winter,432,1008,0.787,0.25,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.14
25,0,0,2024-02-12T06:15:00,gig_driver,winter,432,1008,0.787,0.2604166666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.013829645232455097,0.0048403758313592836,19.16
26,0,0,2024-02-12T06:30:00,gig_driver,winter,432,1008,0.787,0.2708333333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.004218091729443416,0.0014763321053051955,19.18
27,0,0,2024-02-12T06:45:00,gig_driver,winter,432,1008,0.787,0.28125,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.21
28,0,0,2024-02-12T07:00:00,gig_driver,winter,432,1008,0.787,0.2916666666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.06768951888323743,0.0236913316091331,19.23
29,0,0,2024-02-12T07:15:00,gig_driver,winter,432,1008,0.787,0.3020833333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.25
30,0,0,2024-02-12T07:30:00,gig_driver,winter,432,1008,0.787,0.3125,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0038484704681695653,0.0013469646638593477,19.27
31,0,0,2024-02-12T07:45:00,gig_driver,winter,432,1008,0.787,0.3229166666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.06961456991214382,0.024365099469250334,19.29
32,0,0,2024-02-12T08:00:00,gig_driver,winter,432,1008,0.787,0.3333333333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.16858763309158656,0.05900567158205529,19.31
33,0,0,2024-02-12T08:15:00,gig_driver,winter,432,1008,0.787,0.34375,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.24199282450077675,0.08469748857527186,19.33
34,0,0,2024-02-12T08:30:00,gig_driver,winter,432,1008,0.787,0.3541666666666667,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3318016379749445,0.11613057329123057,19.35
35,0,0,2024-02-12T08:45:00,gig_driver,winter,432,1008,0.787,0.3645833333333333,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3600489833716419,0.12601714418007465,19.37
36,0,0,2024-02-12T09:00:00,gig_driver,winter,432,1008,0.787,0.375,0,False,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,0,0,0.43041956418449284,0.1506468474645725,19.38
37,0,0,2024-02-12T09:15:00,gig_driver,winter,432,1008,0.787,0.3854166666666667,0,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.46660915538845804,0.1633132043859603,19.4
