step_index,week_index,day_index,timestamp,persona_label,season_label,sunrise_minute,sunset_minute,cloudiness,time_of_day_norm,day_of_week,is_weekend,kitchen_light,bedroom_light,living_room_light,bathroom_light,hallway_light,office_light,dining_room_light,bedside_lamp,porch_light,tv_living_room,tv_bedroom,coffee_maker_plug,kettle_plug,microwave_plug,desk_monitor_plug,game_console_plug,washing_machine_plug,dryer_plug,dishwasher_plug,robot_vacuum_plug,space_heater_plug,person_home,front_door,motion_kitchen,motion_bedroom,motion_living_room,motion_bathroom,motion_hallway,motion_office,ambient_light_outdoor,ambient_light_bedroom,indoor_temperature_c
0,0,0,2024-02-12T00:00:00,hybrid,winter,432,1008,0.8006,0.0,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.016316280537530398,0.005710698188135639,18.79
1,0,0,2024-02-12T00:15:00,hybrid,winter,432,1008,0.8006,0.010416666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.79
2,0,0,2024-02-12T00:30:00,hybrid,winter,432,1008,0.8006,0.020833333333333332,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.015871026066260636,0.0055548591231912225,18.79
3,0,0,2024-02-12T00:45:00,hybrid,winter,432,1008,0.8006,0.03125,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.79
4,0,0,2024-02-12T01:00:00,hybrid,winter,432,1008,0.8006,0.041666666666666664,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.011311938561052181,0.003959178496368263,18.8
5,0,0,2024-02-12T01:15:00,hybrid,winter,432,1008,0.8006,0.052083333333333336,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.81
6,0,0,2024-02-12T01:30:00,hybrid,winter,432,1008,0.8006,0.0625,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.021336247271969894,0.0074676865451894624,18.81
7,0,0,2024-02-12T01:45:00,hybrid,winter,432,1008,0.8006,0.07291666666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.010734739237776986,0.0037571587332219446,18.82
8,0,0,2024-02-12T02:00:00,hybrid,winter,432,1008,0.8006,0.08333333333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.83
9,0,0,2024-02-12T02:15:00,hybrid,winter,432,1008,0.8006,0.09375,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.004040762699668958,0.0014142669448841353,18.85
10,0,0,2024-02-12T02:30:00,hybrid,winter,432,1008,0.8006,0.10416666666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.010650759948894863,0.0037277659821132016,18.86
11,0,0,2024-02-12T02:45:00,hybrid,winter,432,1008,0.8006,0.11458333333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01960715535799319,0.006862504375297615,18.87
12,0,0,2024-02-12T03:00:00,hybrid,winter,432,1008,0.8006,0.125,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.89
13,0,0,2024-02-12T03:15:00,hybrid,winter,432,1008,0.8006,0.13541666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.91
14,0,0,2024-02-12T03:30:00,hybrid,winter,432,1008,0.8006,0.14583333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.92
15,0,0,2024-02-12T03:45:00,hybrid,winter,432,1008,0.8006,0.15625,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0010893267769719992,0.0003812643719401997,18.94
16,0,0,2024-02-12T04:00:00,hybrid,winter,432,1008,0.8006,0.16666666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.03339907586936634,0.01168967655427822,18.96
17,0,0,2024-02-12T04:15:00,hybrid,winter,432,1008,0.8006,0.17708333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.98
18,0,0,2024-02-12T04:30:00,hybrid,winter,432,1008,0.8006,0.1875,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04581815053490405,0.016036352687216416,19.0
19,0,0,2024-02-12T04:45:00,hybrid,winter,432,1008,0.8006,0.19791666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.06066571470680211,0.021233000147380738,19.02
20,0,0,2024-02-12T05:00:00,hybrid,winter,432,1008,0.8006,0.20833333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.026792060685357253,0.009377221239875038,19.05
21,0,0,2024-02-12T05:15:00,hybrid,winter,432,1008,0.8006,0.21875,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0322354176542374,0.01128239617898309,19.07
22,0,0,2024-02-12T05:30:00,hybrid,winter,432,1008,0.8006,0.22916666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.09
23,0,0,2024-02-12T05:45:00,hybrid,winter,432,1008,0.8006,0.23958333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.11
24,0,0,2024-02-12T06:00:00,hybrid,winter,432,1008,0.8006,0.25,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.14
