step_index,week_index,day_index,timestamp,persona_label,season_label,sunrise_minute,sunset_minute,cloudiness,time_of_day_norm,day_of_week,is_weekend,kitchen_light,bedroom_light,living_room_light,bathroom_light,hallway_light,office_light,dining_room_light,bedside_lamp,porch_light,tv_living_room,tv_bedroom,coffee_maker_plug,kettle_plug,microwave_plug,desk_monitor_plug,game_console_plug,washing_machine_plug,dryer_plug,dishwasher_plug,robot_vacuum_plug,space_heater_plug,person_home,front_door,motion_kitchen,motion_bedroom,motion_living_room,motion_bathroom,motion_hallway,motion_office,ambient_light_outdoor,ambient_light_bedroom,indoor_temperature_c
0,0,0,2024-02-12T00:00:00,night_shift,winter,432,1008,0.8312,0.0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.003476543601025652,0.0001738271800512826,18.55
1,0,0,2024-02-12T00:15:00,night_shift,winter,432,1008,0.8312,0.010416666666666666,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.55
2,0,0,2024-02-12T00:30:00,night_shift,winter,432,1008,0.8312,0.020833333333333332,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.55
3,0,0,2024-02-12T00:45:00,night_shift,winter,432,1008,0.8312,0.03125,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034472405737242105,0.0017236202868621054,18.55
4,0,0,2024-02-12T01:00:00,night_shift,winter,432,1008,0.8312,0.041666666666666664,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.56
5,0,0,2024-02-12T01:15:00,night_shift,winter,432,1008,0.8312,0.052083333333333336,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.57
6,0,0,2024-02-12T01:30:00,night_shift,winter,432,1008,0.8312,0.0625,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02057182494956229,0.0010285912474781145,18.57
7,0,0,2024-02-12T01:45:00,night_shift,winter,432,1008,0.8312,0.07291666666666667,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.58
8,0,0,2024-02-12T02:00:00,night_shift,winter,432,1008,0.8312,0.08333333333333333,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01937676234587783,0.0009688381172938915,18.59
9,0,0,2024-02-12T02:15:00,night_shift,winter,432,1008,0.8312,0.09375,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03204254556605404,0.0016021272783027021,18.61
10,0,0,2024-02-12T02:30:00,night_shift,winter,432,1008,0.8312,0.10416666666666667,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008971860286478728,0.0004485930143239364,18.62
11,0,0,2024-02-12T02:45:00,night_shift,winter,432,1008,0.8312,0.11458333333333333,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02199006183601011,0.0010995030918005055,18.63
12,0,0,2024-02-12T03:00:00,night_shift,winter,432,1008,0.8312,0.125,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01187415008140989,0.0005937075040704945,18.65
13,0,0,2024-02-12T03:15:00,night_shift,winter,432,1008,0.8312,0.13541666666666666,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.67
14,0,0,2024-02-12T03:30:00,night_shift,winter,432,1008,0.8312,0.14583333333333334,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01497741425141786,0.000748870712570893,18.68
15,0,0,2024-02-12T03:45:00,night_shift,winter,432,1008,0.8312,0.15625,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012580215916327665,0.0006290107958163833,18.7
16,0,0,2024-02-12T04:00:00,night_shift,winter,432,1008,0.8312,0.16666666666666666,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.72
17,0,0,2024-02-12T04:15:00,night_shift,winter,432,1008,0.8312,0.17708333333333334,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.74
18,0,0,2024-02-12T04:30:00,night_shift,winter,432,1008,0.8312,0.1875,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02255336869776441,0.0011276684348882206,18.76
19,0,0,2024-02-12T04:45:00,night_shift,winter,432,1008,0.8312,0.19791666666666666,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.78
20,0,0,2024-02-12T05:00:00,night_shift,winter,432,1008,0.8312,0.20833333333333334,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035259670341490607,0.0017629835170745304,18.81
21,0,0,2024-02-12T05:15:00,night_shift,winter,432,1008,0.8312,0.21875,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03837665512262125,0.0019188327561310626,18.83
22,0,0,2024-02-12T05:30:00,night_shift,winter,432,1008,0.8312,0.22916666666666666,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01847348203772828,0.0009236741018864141,18.85
23,0,0,2024-02-12T05:45:00,night_shift,winter,432,1008,0.8312,0.23958333333333334,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.87
24,0,0,2024-02-12T06:00:00,night_shift,winter,432,1008,0.8312,0.25,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005590419733663679,0.000279520986683184,18.9
25,0,0,2024-02-12T06:15:00,night_shift,winter,432,1008,0.8312,0.2604166666666667,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005040385139567185,0.00025201925697835925,18.92
26,0,0,2024-02-12T06:30:00,night_shift,winter,432,1008,0.8312,0.2708333333333333,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02607986739870148,0.0013039933699350741,18.94
27,0,0,2024-02-12T06:45:00,night_shift,winter,432,1008,0.8312,0.28125,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02365267363674438,0.001182633681837219,18.97
28,0,0,2024-02-12T07:00:00,night_shift,winter,432,1008,0.8312,0.2916666666666667,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,18.99
29,0,0,2024-02-12T07:15:00,night_shift,winter,432,1008,0.8312,0.3020833333333333,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.03915894872396227,0.0019579474361981135,19.01
30,0,0,2024-02-12T07:30:00,night_shift,winter,432,1008,0.8312,0.3125,0,False,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0.031045334978270205,0.0015522667489135103,19.03
31,0,0,2024-02-12T07:45:00,night_shift,winter,432,1008,0.8312,0.3229166666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.1377155413213836,0.0068857770660691806,19.05
32,0,0,2024-02-12T08:00:00,night_shift,winter,432,1008,0.8312,0.3333333333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.1356362441057593,0.006781812205287965,19.07
33,0,0,2024-02-12T08:15:00,night_shift,winter,432,1008,0.8312,0.34375,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.2246643263099063,0.011233216315495315,19.09
34,0,0,2024-02-12T08:30:00,night_shift,winter,432,1008,0.8312,0.3541666666666667,0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.25566196949335923,0.012783098474667963,19.11
35,0,0,2024-02-12T08:45:00,night_shift,winter,432,1008,0.8312,0.3645833333333333,0,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.3516333280965111,0.017581666404825554,19.13
36,0,0,2024-02-12T09:00:00,night_shift,winter,432,1008,0.8312,0.375,0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3509978715300151,0.017549893576500757,19.14
37,0,0,2024-02-12T09:15:00,night_shift,winter,432,1008,0.8312,0.3854166666666667,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4695145168642733,0.02347572584321367,19.16
