step_index,week_index,day_index,timestamp,persona_label,season_label,sunrise_minute,sunset_minute,cloudiness,time_of_day_norm,day_of_week,is_weekend,kitchen_light,bedroom_light,living_room_light,bathroom_light,hallway_light,office_light,dining_room_light,bedside_lamp,porch_light,tv_living_room,tv_bedroom,coffee_maker_plug,kettle_plug,microwave_plug,desk_monitor_plug,game_console_plug,washing_machine_plug,dryer_plug,dishwasher_plug,robot_vacuum_plug,space_heater_plug,person_home,front_door,motion_kitchen,motion_bedroom,motion_living_room,motion_bathroom,motion_hallway,motion_office,ambient_light_outdoor,ambient_light_bedroom,indoor_temperature_c
0,0,0,2024-02-12T00:00:00,retiree,winter,432,1008,0.787,0.0,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.79
1,0,0,2024-02-12T00:15:00,retiree,winter,432,1008,0.787,0.010416666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.79
2,0,0,2024-02-12T00:30:00,retiree,winter,432,1008,0.787,0.020833333333333332,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.79
3,0,0,2024-02-12T00:45:00,retiree,winter,432,1008,0.787,0.03125,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.016904609317839624,0.005916613261243868,18.79
4,0,0,2024-02-12T01:00:00,retiree,winter,432,1008,0.787,0.041666666666666664,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.026511791540004968,0.009279127039001737,18.8
5,0,0,2024-02-12T01:15:00,retiree,winter,432,1008,0.787,0.052083333333333336,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.81
6,0,0,2024-02-12T01:30:00,retiree,winter,432,1008,0.787,0.0625,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01937676234587783,0.00678186682105724,18.81
7,0,0,2024-02-12T01:45:00,retiree,winter,432,1008,0.787,0.07291666666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04800395150313693,0.016801383026097925,18.82
8,0,0,2024-02-12T02:00:00,retiree,winter,432,1008,0.787,0.08333333333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04789920114646726,0.01676472040126354,18.83
9,0,0,2024-02-12T02:15:00,retiree,winter,432,1008,0.787,0.09375,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.85
10,0,0,2024-02-12T02:30:00,retiree,winter,432,1008,0.787,0.10416666666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01497741425141786,0.005242094987996251,18.86
11,0,0,2024-02-12T02:45:00,retiree,winter,432,1008,0.787,0.11458333333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.036993505664173885,0.012947726982460859,18.87
12,0,0,2024-02-12T03:00:00,retiree,winter,432,1008,0.787,0.125,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.89
13,0,0,2024-02-12T03:15:00,retiree,winter,432,1008,0.787,0.13541666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.91
14,0,0,2024-02-12T03:30:00,retiree,winter,432,1008,0.787,0.14583333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.035259670341490607,0.012340884619521712,18.92
15,0,0,2024-02-12T03:45:00,retiree,winter,432,1008,0.787,0.15625,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.94
16,0,0,2024-02-12T04:00:00,retiree,winter,432,1008,0.787,0.16666666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.96
