step_index,week_index,day_index,timestamp,persona_label,season_label,sunrise_minute,sunset_minute,cloudiness,time_of_day_norm,day_of_week,is_weekend,kitchen_light,bedroom_light,living_room_light,bathroom_light,hallway_light,office_light,dining_room_light,bedside_lamp,porch_light,tv_living_room,tv_bedroom,coffee_maker_plug,kettle_plug,microwave_plug,desk_monitor_plug,game_console_plug,washing_machine_plug,dryer_plug,dishwasher_plug,robot_vacuum_plug,space_heater_plug,person_home,front_door,motion_kitchen,motion_bedroom,motion_living_room,motion_bathroom,motion_hallway,motion_office,ambient_light_outdoor,ambient_light_bedroom,indoor_temperature_c
0,0,0,2024-02-12T00:00:00,social,winter,432,1008,0.787,0.0,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,18.79
1,0,0,2024-02-12T00:15:00,social,winter,432,1008,0.787,0.010416666666666666,0,False,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,18.79
2,0,0,2024-02-12T00:30:00,social,winter,432,1008,0.787,0.020833333333333332,0,False,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.034472405737242105,0.012065342008034736,18.79
3,0,0,2024-02-12T00:45:00,social,winter,432,1008,0.787,0.03125,0,False,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.79
4,0,0,2024-02-12T01:00:00,social,winter,432,1008,0.787,0.041666666666666664,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.8
5,0,0,2024-02-12T01:15:00,social,winter,432,1008,0.787,0.052083333333333336,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.021336247271969894,0.0074676865451894624,18.81
6,0,0,2024-02-12T01:30:00,social,winter,432,1008,0.787,0.0625,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.81
7,0,0,2024-02-12T01:45:00,social,winter,432,1008,0.787,0.07291666666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04068170513842572,0.014238596798449,18.82
8,0,0,2024-02-12T02:00:00,social,winter,432,1008,0.787,0.08333333333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05873559269487673,0.020557457443206854,18.83
9,0,0,2024-02-12T02:15:00,social,winter,432,1008,0.787,0.09375,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.85
10,0,0,2024-02-12T02:30:00,social,winter,432,1008,0.787,0.10416666666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.86
11,0,0,2024-02-12T02:45:00,social,winter,432,1008,0.787,0.11458333333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.87
12,0,0,2024-02-12T03:00:00,social,winter,432,1008,0.787,0.125,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.89
13,0,0,2024-02-12T03:15:00,social,winter,432,1008,0.787,0.13541666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.06781508752384978,0.02373528063334742,18.91
14,0,0,2024-02-12T03:30:00,social,winter,432,1008,0.787,0.14583333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.010299303607151481,0.003604756262503018,18.92
15,0,0,2024-02-12T03:45:00,social,winter,432,1008,0.787,0.15625,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.94
16,0,0,2024-02-12T04:00:00,social,winter,432,1008,0.787,0.16666666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0322354176542374,0.01128239617898309,18.96
17,0,0,2024-02-12T04:15:00,social,winter,432,1008,0.787,0.17708333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,18.98
18,0,0,2024-02-12T04:30:00,social,winter,432,1008,0.787,0.1875,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.0
19,0,0,2024-02-12T04:45:00,social,winter,432,1008,0.787,0.19791666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.02
20,0,0,2024-02-12T05:00:00,social,winter,432,1008,0.787,0.20833333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.024286744951232484,0.008500360732931369,19.05
21,0,0,2024-02-12T05:15:00,social,winter,432,1008,0.787,0.21875,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.03826022206710514,0.013391077723486798,19.07
22,0,0,2024-02-12T05:30:00,social,winter,432,1008,0.787,0.22916666666666666,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.04237367763943622,0.014830787173802675,19.09
23,0,0,2024-02-12T05:45:00,social,winter,432,1008,0.787,0.23958333333333334,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.11
24,0,0,2024-02-12T06:00:00,social,winter,432,1008,0.787,0.25,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.001319663575765662,0.0004618822515179816,19.14
25,0,0,2024-02-12T06:15:00,social,winter,432,1008,0.787,0.2604166666666667,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0020272040984683644,0.0007095214344639275,19.16
26,0,0,2024-02-12T06:30:00,social,winter,432,1008,0.787,0.2708333333333333,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.18
