persona_label,target_timestamp,membership_true,membership_pred,attack_score,binary_loss,continuous_loss
retiree,2024-02-12 00:15:00,1,1,0.032878637,0.028231638,0.0046469998
retiree,2024-02-12 00:30:00,1,1,0.033115886,0.028432416,0.004683472
retiree,2024-02-12 00:45:00,1,1,0.03641147,0.028633015,0.007778456
retiree,2024-02-12 01:00:00,1,1,0.037383467,0.029511236,0.007872231
retiree,2024-02-12 01:15:00,1,1,0.03408415,0.030515272,0.0035688777
retiree,2024-02-12 01:30:00,1,1,0.03777235,0.03002556,0.0077467877
retiree,2024-02-12 01:45:00,1,1,0.04850065,0.03105416,0.017446488
retiree,2024-02-12 02:00:00,1,1,0.04628153,0.032949634,0.013331897
retiree,2024-02-12 02:15:00,1,1,0.03646284,0.03361383,0.002849008
retiree,2024-02-12 02:30:00,1,1,0.036078874,0.03253396,0.0035449164
retiree,2024-02-12 02:45:00,1,1,0.044021383,0.03389902,0.010122363
retiree,2024-02-12 03:00:00,1,1,0.03699044,0.035625175,0.0013652669
retiree,2024-02-12 03:15:00,1,1,0.035321575,0.035004318,0.00031725687
retiree,2024-02-12 03:30:00,1,1,0.045955233,0.03614653,0.009808703
retiree,2024-02-12 03:45:00,1,1,0.039444897,0.03857807,0.0008668282
retiree,2024-02-12 04:00:00,1,1,0.038603418,0.038017415,0.0005860035
retiree,2024-02-12 04:15:00,1,1,0.040339936,0.03922023,0.0011197081
retiree,2024-02-12 04:30:00,1,1,0.045586362,0.04073517,0.004851194
retiree,2024-02-12 04:45:00,1,1,0.04520138,0.04318199,0.0020193898
retiree,2024-02-12 05:00:00,1,1,0.048579983,0.043064427,0.0055155563
retiree,2024-02-12 05:15:00,1,1,0.050040476,0.04535859,0.0046818852
retiree,2024-02-12 05:30:00,1,1,0.05265221,0.04637783,0.0062743817
retiree,2024-02-12 05:45:00,1,1,0.0561942,0.047789577,0.008404622
retiree,2024-02-12 06:00:00,1,1,0.064429075,0.04919393,0.015235147
retiree,2024-02-12 06:15:00,1,1,0.063003734,0.05127422,0.011729515
retiree,2024-02-12 06:30:00,1,1,0.06584036,0.054459415,0.011380949
retiree,2024-02-12 06:45:00,1,1,0.08616366,0.05642079,0.029742872
retiree,2024-02-12 07:00:00,1,1,0.54754263,0.5184044,0.029138183
retiree,2024-02-12 07:15:00,1,1,0.2705857,0.2418138,0.028771885
retiree,2024-02-12 07:30:00,1,1,0.08865583,0.07231611,0.016339721
retiree,2024-02-12 07:45:00,1,1,0.08128907,0.0703074,0.0109816715
retiree,2024-02-12 08:00:00,1,1,0.32093176,0.30899805,0.011933713
retiree,2024-02-12 08:15:00,1,1,0.29646415,0.29458243,0.001881733
retiree,2024-02-12 08:30:00,1,1,0.10782663,0.09317437,0.014652259
retiree,2024-02-12 08:45:00,1,1,0.13017803,0.07799711,0.052180916
retiree,2024-02-12 09:00:00,1,1,0.070355885,0.06851653,0.0018393536
retiree,2024-02-12 09:15:00,1,1,0.09503653,0.06800378,0.027032746
retiree,2024-02-12 09:30:00,1,1,0.11396098,0.06347154,0.050489437
retiree,2024-02-12 09:45:00,1,1,0.06285051,0.059719894,0.0031306187
retiree,2024-02-12 10:00:00,1,1,0.06734569,0.059984766,0.0073609254
retiree,2024-02-12 10:15:00,1,1,0.099983275,0.040062647,0.059920628
retiree,2024-02-12 10:30:00,1,1,0.043482956,0.03768534,0.0057976185
retiree,2024-02-12 10:45:00,1,1,0.050850257,0.037080638,0.01376962
