persona_label,target_timestamp,membership_true,membership_pred,attack_score,binary_loss,continuous_loss
social,2024-02-12 00:15:00,1,1,0.35403863,0.32563514,0.028403485
social,2024-02-12 00:30:00,1,1,0.51018095,0.49523887,0.014942072
social,2024-02-12 00:45:00,1,1,0.1795433,0.17412135,0.0054219537
social,2024-02-12 01:00:00,1,1,0.040135093,0.033847313,0.006287781
social,2024-02-12 01:15:00,1,1,0.05567512,0.037247144,0.018427974
social,2024-02-12 01:30:00,1,1,0.05353754,0.03817568,0.01536186
social,2024-02-12 01:45:00,1,1,0.06851432,0.03777599,0.030738331
social,2024-02-12 02:00:00,1,1,0.07583259,0.039289955,0.036542635
social,2024-02-12 02:15:00,1,1,0.051079284,0.04018862,0.010890663
social,2024-02-12 02:30:00,1,1,0.046285093,0.03874811,0.0075369813
social,2024-02-12 02:45:00,1,1,0.046035055,0.039045297,0.006989757
social,2024-02-12 03:00:00,1,1,0.04353796,0.03934249,0.004195469
social,2024-02-12 03:15:00,1,1,0.0863717,0.039703395,0.046668302
social,2024-02-12 03:30:00,1,1,0.05281627,0.0423658,0.01045047
social,2024-02-12 03:45:00,1,1,0.04287867,0.04070532,0.0021733488
social,2024-02-12 04:00:00,1,1,0.053481556,0.04069443,0.012787126
social,2024-02-12 04:15:00,1,1,0.044088442,0.042156167,0.0019322735
social,2024-02-12 04:30:00,1,1,0.042121485,0.041377258,0.0007442287
social,2024-02-12 04:45:00,1,1,0.04222642,0.04173096,0.0004954617
social,2024-02-12 05:00:00,1,1,0.047899645,0.04207378,0.0058258665
social,2024-02-12 05:15:00,1,1,0.04818086,0.043404926,0.004775934
social,2024-02-12 05:30:00,1,1,0.047537573,0.04427228,0.0032652933
social,2024-02-12 05:45:00,1,1,0.049340125,0.04475672,0.004583402
social,2024-02-12 06:00:00,1,1,0.04912615,0.04342023,0.005705919
social,2024-02-12 06:15:00,1,1,0.04936114,0.043842755,0.0055183824
social,2024-02-12 06:30:00,1,1,0.052180994,0.044150684,0.00803031
social,2024-02-12 06:45:00,1,1,0.52557045,0.5108328,0.014737689
social,2024-02-12 07:00:00,1,1,0.3016342,0.27185503,0.02977918
social,2024-02-12 07:15:00,1,1,0.53588504,0.5315861,0.0042989003
social,2024-02-12 07:30:00,1,1,0.49726292,0.49633664,0.000926273
social,2024-02-12 07:45:00,1,1,0.07287039,0.06727723,0.0055931546
social,2024-02-12 08:00:00,1,1,0.121113025,0.070389636,0.05072339
social,2024-02-12 08:15:00,1,1,0.12061393,0.08918236,0.03143157
social,2024-02-12 08:30:00,1,1,0.115726665,0.08155001,0.03417665
social,2024-02-12 08:45:00,1,1,0.07911072,0.07080002,0.008310699
social,2024-02-12 09:00:00,1,1,0.087676965,0.0718299,0.015847066
social,2024-02-12 09:15:00,1,1,0.08185809,0.06595381,0.015904276
social,2024-02-12 09:30:00,1,1,0.10811786,0.06111208,0.047005787
social,2024-02-12 09:45:00,1,1,0.11606183,0.05611335,0.059948478
social,2024-02-12 10:00:00,1,1,0.08665251,0.04922713,0.03742538
social,2024-02-12 10:15:00,1,1,0.067949705,0.045251746,0.022697957
social,2024-02-12 10:30:00,1,1,0.13399869,0.04310146,0.090897225
social,2024-02-12 10:45:00,1,1,0.042384032,0.037398756,0.004985278
social,2024-02-12 11:00:00,1,1,0.117934555,0.03830119,0.07963337
social,2024-02-12 11:15:00,1,1,0.058140174,0.03396422,0.024175951
social,2024-02-12 11:30:00,1,1,0.05775421,0.03333791,0.0244163
social,2024-02-12 11:45:00,1,1,0.04858516,0.03287494,0.015710222
social,2024-02-12 12:00:00,1,1,0.06316056,0.03296686,0.0301937
social,2024-02-12 12:15:00,1,1,0.064147845,0.03221332,0.031934526
social,2024-02-12 12:30:00,1,1,0.04407176,0.03154725,0.012524512
social,2024-02-12 12:45:00,1,1,0.12110044,0.037506323,0.08359412
social,2024-02-12 13:00:00,1,1,0.08059364,0.034033425,0.046560213
social,2024-02-12 13:15:00,1,1,0.04874792,0.03280885,0.01593907
social,2024-02-12 13:30:00,1,1,0.04519607,0.03978294,0.005413132
social,2024-02-12 13:45:00,1,1,0.049567524,0.04221576,0.007351763
social,2024-02-12 14:00:00,1,1,0.049097437,0.04444996,0.004647479
social,2024-02-12 14:15:00,1,1,0.06327463,0.051004056,0.012270576
social,2024-02-12 14:30:00,1,1,0.05310497,0.05232552,0.00077944883
social,2024-02-12 14:45:00,1,1,0.05787128,0.057348166,0.0005231121
social,2024-02-12 15:00:00,1,1,0.06279647,0.062324442,0.00047203386
social,2024-02-12 15:15:00,1,1,0.07737664,0.06767801,0.009698631
social,2024-02-12 15:30:00,1,1,0.082673594,0.077103704,0.005569892
social,2024-02-12 15:45:00,1,1,0.10109233,0.0852997,0.015792629
social,2024-02-12 16:00:00,1,1,0.09854186,0.0819934,0.016548462
social,2024-02-12 16:15:00,1,1,0.09237551,0.07358833,0.018787183
social,2024-02-12 16:30:00,1,1,0.12407935,0.07560016,0.04847919
social,2024-02-12 16:45:00,1,1,0.091135964,0.07738947,0.013746493
