persona_label,target_timestamp,membership_true,membership_pred,attack_score,binary_loss,continuous_loss
wfh,2024-02-12 00:15:00,1,1,0.013757927,0.00977746,0.003980467
wfh,2024-02-12 00:30:00,1,1,0.014026872,0.010021103,0.0040057693
wfh,2024-02-12 00:45:00,1,1,0.015940629,0.010272062,0.005668566
wfh,2024-02-12 01:00:00,1,1,0.015964068,0.010771098,0.0051929704
wfh,2024-02-12 01:15:00,1,1,0.015899692,0.011283289,0.0046164035
wfh,2024-02-12 01:30:00,1,1,0.017748704,0.011237271,0.006511433
wfh,2024-02-12 01:45:00,1,1,0.02536498,0.011830672,0.0135343075
wfh,2024-02-12 02:00:00,1,1,0.022789104,0.012759097,0.010030007
wfh,2024-02-12 02:15:00,1,1,0.019688709,0.013182189,0.00650652
wfh,2024-02-12 02:30:00,1,1,0.01622649,0.012815923,0.0034105654
wfh,2024-02-12 02:45:00,1,1,0.021848384,0.013527089,0.008321296
wfh,2024-02-12 03:00:00,1,1,0.020244492,0.014448419,0.0057960735
wfh,2024-02-12 03:15:00,1,1,0.015925076,0.0142395515,0.001685524
wfh,2024-02-12 03:30:00,1,1,0.023140742,0.014835337,0.008305404
wfh,2024-02-12 03:45:00,1,1,0.023064207,0.01621479,0.006849417
wfh,2024-02-12 04:00:00,1,1,0.017983137,0.015965696,0.0020174396
wfh,2024-02-12 04:15:00,1,1,0.01812716,0.016640935,0.0014862254
wfh,2024-02-12 04:30:00,1,1,0.019533416,0.017491313,0.0020421043
wfh,2024-02-12 04:45:00,1,1,0.024226086,0.018988565,0.005237521
wfh,2024-02-12 05:00:00,1,1,0.01953461,0.018894924,0.00063968584
wfh,2024-02-12 05:15:00,1,1,0.022693157,0.020239716,0.0024534403
wfh,2024-02-12 05:30:00,1,1,0.022949576,0.02089878,0.0020507975
wfh,2024-02-12 05:45:00,1,1,0.024623394,0.021852214,0.0027711808
wfh,2024-02-12 06:00:00,1,1,0.028590174,0.022759851,0.005830323
wfh,2024-02-12 06:15:00,1,1,0.027375892,0.023966363,0.0034095284
