persona_label,target_timestamp,membership_true,membership_pred,attack_score,binary_loss,continuous_loss
commuter,2024-02-12 00:15:00,1,1,0.020896558,0.014935082,0.005961476
commuter,2024-02-12 00:30:00,1,1,0.028670125,0.0151553,0.013514824
commuter,2024-02-12 00:45:00,1,1,0.0272994,0.016265279,0.011034121
commuter,2024-02-12 01:00:00,1,1,0.018961053,0.015609556,0.0033514977
commuter,2024-02-12 01:15:00,1,1,0.01926705,0.016013019,0.003254032
commuter,2024-02-12 01:30:00,1,1,0.02800319,0.016360834,0.011642356
commuter,2024-02-12 01:45:00,1,1,0.022942757,0.017481523,0.005461235
commuter,2024-02-12 02:00:00,1,1,0.020818029,0.017247481,0.0035705464
commuter,2024-02-12 02:15:00,1,1,0.018514901,0.0173919,0.0011230026
commuter,2024-02-12 02:30:00,1,1,0.020644974,0.017955013,0.002689962
commuter,2024-02-12 02:45:00,1,1,0.022107216,0.018740823,0.0033663928
commuter,2024-02-12 03:00:00,1,1,0.019554388,0.018779693,0.0007746949
commuter,2024-02-12 03:15:00,1,1,0.021194685,0.019606125,0.0015885603
commuter,2024-02-12 03:30:00,1,1,0.027345581,0.01989259,0.007452991
commuter,2024-02-12 03:45:00,1,1,0.023491895,0.021620775,0.0018711196
commuter,2024-02-12 04:00:00,1,1,0.02577585,0.02154889,0.0042269593
commuter,2024-02-12 04:15:00,1,1,0.030164283,0.023026917,0.007137366
commuter,2024-02-12 04:30:00,1,1,0.022999022,0.022117725,0.0008812966
commuter,2024-02-12 04:45:00,1,1,0.028308166,0.02365917,0.004648996
commuter,2024-02-12 05:00:00,1,1,0.025641195,0.02334071,0.0023004867
commuter,2024-02-12 05:15:00,1,1,0.026640724,0.024085985,0.0025547382
commuter,2024-02-12 05:30:00,1,1,0.025897793,0.024667906,0.0012298886
commuter,2024-02-12 05:45:00,1,1,0.026783438,0.026647236,0.00013620252
commuter,2024-02-12 06:00:00,1,1,0.040987648,0.027552372,0.013435277
commuter,2024-02-12 06:15:00,1,1,0.04777219,0.026496941,0.02127525
commuter,2024-02-12 06:30:00,1,1,0.5369391,0.5120782,0.024860876
commuter,2024-02-12 06:45:00,1,1,0.29010144,0.26518157,0.024919877
commuter,2024-02-12 07:00:00,1,1,0.5683118,0.5613592,0.0069525917
commuter,2024-02-12 07:15:00,1,1,0.5735923,0.5732274,0.00036492315
commuter,2024-02-12 07:30:00,1,1,0.1017348,0.092149794,0.009585005
commuter,2024-02-12 07:45:00,1,1,0.11979929,0.096138686,0.023660606
commuter,2024-02-12 08:00:00,1,1,0.13916147,0.09569699,0.04346448
commuter,2024-02-12 08:15:00,1,1,0.14730453,0.09961207,0.04769246
commuter,2024-02-12 08:30:00,1,1,0.097482264,0.08259773,0.014884534
commuter,2024-02-12 08:45:00,1,1,0.092212394,0.07759233,0.014620066
commuter,2024-02-12 09:00:00,1,1,0.14613989,0.07517611,0.07096378
commuter,2024-02-12 09:15:00,1,1,0.0835582,0.06788512,0.015673082
commuter,2024-02-12 09:30:00,1,1,0.18697351,0.06689186,0.120081656
commuter,2024-02-12 09:45:00,1,1,0.13538095,0.060687013,0.07469393
commuter,2024-02-12 10:00:00,1,1,0.07214884,0.057571936,0.014576898
commuter,2024-02-12 10:15:00,1,1,0.11002612,0.059035197,0.05099092
commuter,2024-02-12 10:30:00,1,1,0.20470452,0.057206806,0.14749771
commuter,2024-02-12 10:45:00,1,1,0.07077584,0.05461324,0.016162599
commuter,2024-02-12 11:00:00,1,1,0.09770328,0.05504681,0.042656466
commuter,2024-02-12 11:15:00,1,1,0.10120699,0.05460921,0.046597783
commuter,2024-02-12 11:30:00,1,1,0.1401774,0.054244783,0.08593261
commuter,2024-02-12 11:45:00,1,1,0.0741643,0.053510807,0.020653492
commuter,2024-02-12 12:00:00,1,1,0.1093461,0.05392876,0.05541734
commuter,2024-02-12 12:15:00,1,1,0.07555483,0.053662024,0.02189281
commuter,2024-02-12 12:30:00,1,1,0.16050154,0.054076556,0.10642498
commuter,2024-02-12 12:45:00,1,1,0.07111994,0.05336513,0.01775481
commuter,2024-02-12 13:00:00,1,1,0.085113056,0.054908715,0.03020434
commuter,2024-02-12 13:15:00,1,1,0.06995457,0.055254065,0.014700501
commuter,2024-02-12 13:30:00,1,1,0.11046213,0.05665886,0.053803265
commuter,2024-02-12 13:45:00,1,1,0.071436465,0.05640481,0.015031655
commuter,2024-02-12 14:00:00,1,1,0.103489906,0.059192967,0.04429694
commuter,2024-02-12 14:15:00,1,1,0.08453042,0.059158128,0.025372291
commuter,2024-02-12 14:30:00,1,1,0.073220566,0.06095987,0.01226069
commuter,2024-02-12 14:45:00,1,1,0.09936519,0.066765465,0.03259972
commuter,2024-02-12 15:00:00,1,1,0.09747868,0.0673756,0.030103082
commuter,2024-02-12 15:15:00,1,1,0.095147304,0.07701425,0.018133052
commuter,2024-02-12 15:30:00,1,1,0.08985091,0.0796072,0.010243707
commuter,2024-02-12 15:45:00,1,1,0.16281068,0.121763706,0.041046973
commuter,2024-02-12 16:00:00,1,1,0.11586774,0.10615772,0.00971002
commuter,2024-02-12 16:15:00,1,1,0.12486952,0.10461639,0.020253127
commuter,2024-02-12 16:30:00,1,1,0.13483986,0.10253809,0.03230178
commuter,2024-02-12 16:45:00,1,1,0.11791289,0.101965085,0.015947806
commuter,2024-02-12 17:00:00,1,1,0.11677135,0.10273278,0.01403857
commuter,2024-02-12 17:15:00,1,1,0.11845145,0.103538,0.01491345
