persona_label,target_timestamp,membership_true,membership_pred,attack_score,binary_loss,continuous_loss
commuter,2024-02-12 00:15:00,1,1,0.0008248184,0.00013492182,0.0006898966
commuter,2024-02-12 00:30:00,1,1,0.0043896595,0.00014514469,0.0042445147
commuter,2024-02-12 00:45:00,1,1,0.0029033863,0.00015732874,0.0027460575
commuter,2024-02-12 01:00:00,1,1,0.0007364004,0.00016809943,0.000568301
commuter,2024-02-12 01:15:00,1,1,0.00093327224,0.00019665483,0.0007366174
commuter,2024-02-12 01:30:00,1,1,0.0041105244,0.00022903478,0.0038814899
commuter,2024-02-12 01:45:00,1,1,0.0010193712,0.0002493093,0.0007700619
commuter,2024-02-12 02:00:00,1,1,0.0011729916,0.00028737335,0.0008856182
commuter,2024-02-12 02:15:00,1,1,0.0016284833,0.00033273202,0.0012957513
commuter,2024-02-12 02:30:00,1,1,0.0006773727,0.0004207649,0.00025660775
commuter,2024-02-12 02:45:00,1,1,0.0013355839,0.0004954233,0.00084016053
commuter,2024-02-12 03:00:00,1,1,0.0010584763,0.0005738483,0.000484628
commuter,2024-02-12 03:15:00,1,1,0.0017326258,0.00073631044,0.0009963154
commuter,2024-02-12 03:30:00,1,1,0.007609753,0.0009235418,0.006686211
commuter,2024-02-12 03:45:00,1,1,0.0012954522,0.0011183654,0.0001770868
commuter,2024-02-12 04:00:00,1,1,0.007055081,0.0013955139,0.005659567
commuter,2024-02-12 04:15:00,1,1,0.0043805563,0.0018667552,0.0025138012
commuter,2024-02-12 04:30:00,1,1,0.004273762,0.0023019998,0.001971762
commuter,2024-02-12 04:45:00,1,1,0.004566947,0.003080051,0.001486896
commuter,2024-02-12 05:00:00,1,1,0.004278078,0.003794389,0.00048368901
commuter,2024-02-12 05:15:00,1,1,0.005686841,0.00529145,0.000395391
commuter,2024-02-12 05:30:00,1,1,0.010857301,0.006700042,0.004157259
commuter,2024-02-12 05:45:00,1,1,0.012373581,0.008929071,0.0034445093
commuter,2024-02-12 06:00:00,1,1,0.014253355,0.011381933,0.002871421
commuter,2024-02-12 06:15:00,1,1,0.051179666,0.014624356,0.03655531
commuter,2024-02-12 06:30:00,1,1,0.2532268,0.2480218,0.005205005
commuter,2024-02-12 06:45:00,1,1,0.082207955,0.07973141,0.0024765432
commuter,2024-02-12 07:00:00,1,1,0.110183574,0.10811432,0.002069256
commuter,2024-02-12 07:15:00,1,1,0.053918295,0.05304021,0.0008780851
commuter,2024-02-12 07:30:00,1,1,0.022008553,0.015139981,0.006868571
commuter,2024-02-12 07:45:00,1,1,0.039015923,0.0063605392,0.032655384
commuter,2024-02-12 08:00:00,1,1,0.011843946,0.005855334,0.0059886114
commuter,2024-02-12 08:15:00,1,1,0.0326933,0.027134089,0.005559213
commuter,2024-02-12 08:30:00,1,1,0.005531378,0.00250387,0.0030275083
commuter,2024-02-12 08:45:00,1,1,0.015202526,0.0008442635,0.0143582625
commuter,2024-02-12 09:00:00,1,1,0.016244238,0.00050946337,0.015734775
commuter,2024-02-12 09:15:00,1,1,0.02646379,8.7156775e-05,0.026376633
commuter,2024-02-12 09:30:00,1,1,0.022648482,7.233315e-05,0.022576148
commuter,2024-02-12 09:45:00,1,1,0.004303775,2.7487415e-05,0.0042762873
commuter,2024-02-12 10:00:00,1,1,0.06612055,1.6392327e-05,0.06610416
commuter,2024-02-12 10:15:00,1,1,0.00395021,2.0387213e-05,0.0039298227
commuter,2024-02-12 10:30:00,1,1,0.03357581,1.534477e-05,0.033560466
commuter,2024-02-12 10:45:00,1,1,0.019169271,9.244384e-06,0.019160027
commuter,2024-02-12 11:00:00,1,1,0.005077169,1.0195989e-05,0.0050669727
commuter,2024-02-12 11:15:00,1,1,0.0035565118,9.2532355e-06,0.0035472587
commuter,2024-02-12 11:30:00,1,1,0.018173758,8.659586e-06,0.018165099
commuter,2024-02-12 11:45:00,1,1,0.007176407,7.259729e-06,0.0071691475
commuter,2024-02-12 12:00:00,1,1,0.00879087,8.1721555e-06,0.008782698
commuter,2024-02-12 12:15:00,1,1,0.0041805413,7.771242e-06,0.00417277
commuter,2024-02-12 12:30:00,1,1,0.041908886,8.700468e-06,0.041900184
commuter,2024-02-12 12:45:00,1,1,0.028623404,7.659057e-06,0.028615745
commuter,2024-02-12 13:00:00,1,1,0.005153786,1.0843797e-05,0.005142942
commuter,2024-02-12 13:15:00,1,1,0.00769334,1.1701792e-05,0.0076816385
commuter,2024-02-12 13:30:00,1,1,0.0176163,1.5608179e-05,0.017600691
commuter,2024-02-12 13:45:00,1,1,0.0182616,1.5751668e-05,0.018245848
commuter,2024-02-12 14:00:00,1,1,0.017343644,2.5740546e-05,0.017317904
commuter,2024-02-12 14:15:00,1,1,0.012278366,2.6512269e-05,0.012251854
commuter,2024-02-12 14:30:00,1,1,0.011040139,3.742669e-05,0.011002712
commuter,2024-02-12 14:45:00,1,1,0.020090582,9.5809606e-05,0.019994773
commuter,2024-02-12 15:00:00,1,1,0.024110513,0.00010831709,0.024002196
commuter,2024-02-12 15:15:00,1,1,0.012607023,0.00089722796,0.011709795
commuter,2024-02-12 15:30:00,1,1,0.0019194866,0.0016421634,0.00027732315
commuter,2024-02-12 15:45:00,1,1,0.064812765,0.05001275,0.014800013
commuter,2024-02-12 16:00:00,1,1,0.012560185,0.0051254453,0.0074347393
commuter,2024-02-12 16:15:00,1,1,0.00792356,0.0063680555,0.0015555051
commuter,2024-02-12 16:30:00,1,1,0.021342201,0.016581027,0.004761174
commuter,2024-02-12 16:45:00,1,1,0.031782202,0.031416513,0.00036568925
commuter,2024-02-12 17:00:00,1,1,0.03445328,0.03443148,2.1801965e-05
commuter,2024-02-12 17:15:00,1,1,0.041611537,0.04097165,0.00063988735
commuter,2024-02-12 17:30:00,1,1,0.11075724,0.10863704,0.0021201996
commuter,2024-02-12 17:45:00,1,1,0.09294017,0.09209404,0.000846124
commuter,2024-02-12 18:00:00,1,1,0.11108292,0.111077756,5.160837e-06
commuter,2024-02-12 18:15:00,1,1,0.06305277,0.061862554,0.0011902197
commuter,2024-02-12 18:30:00,1,1,0.06050133,0.056133326,0.004368005
commuter,2024-02-12 18:45:00,1,1,0.39068165,0.38785478,0.0028268816
commuter,2024-02-12 19:00:00,1,1,0.038951688,0.038915552,3.613626e-05
commuter,2024-02-12 19:15:00,1,1,0.06287449,0.05762806,0.0052464264
commuter,2024-02-12 19:30:00,1,1,0.030340124,0.026262164,0.0040779607
commuter,2024-02-12 19:45:00,1,1,0.032137483,0.027613724,0.0045237592
commuter,2024-02-12 20:00:00,1,1,0.24873523,0.24546492,0.0032703073
commuter,2024-02-12 20:15:00,1,1,0.118043385,0.10593459,0.012108795
commuter,2024-02-12 20:30:00,1,1,0.10515823,0.10286865,0.0022895862
commuter,2024-02-12 20:45:00,1,1,0.016075918,0.015098644,0.0009772748
commuter,2024-02-12 21:00:00,1,1,0.03080049,0.027565015,0.0032354742
commuter,2024-02-12 21:15:00,1,1,0.030096496,0.02660488,0.0034916166
commuter,2024-02-12 21:30:00,1,1,0.028401567,0.02616159,0.0022399758
commuter,2024-02-12 21:45:00,1,1,0.030666059,0.025952972,0.004713087
commuter,2024-02-12 22:00:00,1,1,0.5837694,0.5771625,0.006606896
commuter,2024-02-12 22:15:00,1,1,0.17263204,0.16697547,0.0056565776
commuter,2024-02-12 22:30:00,1,1,0.06701148,0.0643511,0.002660388
commuter,2024-02-12 22:45:00,1,1,0.08413434,0.08194922,0.002185123
commuter,2024-02-12 23:00:00,1,1,0.017133825,0.005995674,0.011138151
commuter,2024-02-12 23:15:00,1,1,0.012309886,0.009651854,0.002658032
commuter,2024-02-12 23:30:00,1,1,0.009453518,0.008856873,0.00059664575
commuter,2024-02-12 23:45:00,1,1,0.00932638,0.0087963855,0.00052999397
commuter,2024-02-13 00:00:00,1,1,0.011911806,0.00873662,0.0031751862
commuter,2024-02-13 00:15:00,1,1,0.0005844912,0.00012264407,0.00046184714
commuter,2024-02-13 00:30:00,1,1,0.00090400194,0.00013257375,0.00077142817
commuter,2024-02-13 00:45:00,1,1,0.0017984182,0.0001536564,0.0016447619
commuter,2024-02-13 01:00:00,1,1,0.001753765,0.0001661314,0.0015876336
commuter,2024-02-13 01:15:00,1,1,0.00058630377,0.00017958194,0.0004067218
commuter,2024-02-13 01:30:00,1,1,0.00328344,0.00020852085,0.003074919
commuter,2024-02-13 01:45:00,1,1,0.0007086637,0.00024236286,0.00046630087
commuter,2024-02-13 02:00:00,1,1,0.0007715726,0.00028182194,0.00048975064
commuter,2024-02-13 02:15:00,1,1,0.00058514264,0.00032860573,0.0002565369
commuter,2024-02-13 02:30:00,1,1,0.0013166987,0.00038199394,0.00093470485
commuter,2024-02-13 02:45:00,1,1,0.0006569244,0.00047827367,0.00017865073
commuter,2024-02-13 03:00:00,1,1,0.0011990662,0.0005568445,0.0006422217
commuter,2024-02-13 03:15:00,1,1,0.0008900875,0.00070485333,0.00018523417
commuter,2024-02-13 03:30:00,1,1,0.0014109749,0.0008252939,0.000585681
commuter,2024-02-13 03:45:00,1,1,0.0012977605,0.0010485891,0.0002491714
commuter,2024-02-13 04:00:00,1,1,0.0015564088,0.001359619,0.00019678984
commuter,2024-02-13 04:15:00,1,1,0.0018060928,0.0017701916,3.590122e-05
commuter,2024-02-13 04:30:00,1,1,0.0024041645,0.0023299516,7.421285e-05
commuter,2024-02-13 04:45:00,1,1,0.011937053,0.0031044518,0.008832601
commuter,2024-02-13 05:00:00,1,1,0.006517431,0.004229522,0.0022879092
commuter,2024-02-13 05:15:00,1,1,0.008833279,0.005293445,0.0035398335
commuter,2024-02-13 05:30:00,1,1,0.007345682,0.007127088,0.00021859386
commuter,2024-02-13 05:45:00,1,1,0.01065544,0.009950146,0.000705294
commuter,2024-02-13 06:00:00,1,1,0.0125207305,0.012262937,0.0002577936
commuter,2024-02-13 06:15:00,1,1,0.026795313,0.015357179,0.011438135
commuter,2024-02-13 06:30:00,1,1,0.024374308,0.021847015,0.0025272924
commuter,2024-02-13 06:45:00,1,1,0.027040021,0.02534144,0.0016985812
commuter,2024-02-13 07:00:00,1,1,0.22868335,0.21741997,0.011263388
commuter,2024-02-13 07:15:00,1,1,0.1902258,0.18952928,0.0006965055
commuter,2024-02-13 07:30:00,1,1,0.043691598,0.030127954,0.013563644
commuter,2024-02-13 07:45:00,1,1,0.011961314,0.009410953,0.002550361
commuter,2024-02-13 08:00:00,1,1,0.047919665,0.022751221,0.025168443
commuter,2024-02-13 08:15:00,1,1,0.062285863,0.030204026,0.032081835
commuter,2024-02-13 08:30:00,1,1,0.027497135,0.0010951075,0.026402028
commuter,2024-02-13 08:45:00,1,1,0.002881206,0.0008978437,0.0019833625
commuter,2024-02-13 09:00:00,1,1,0.0024072435,0.00033563434,0.0020716093
commuter,2024-02-13 09:15:00,1,1,0.002657724,0.00013125894,0.002526465
commuter,2024-02-13 09:30:00,1,1,0.0021986978,5.876001e-05,0.0021399378
commuter,2024-02-13 09:45:00,1,1,0.006146049,3.4749737e-05,0.0061112996
commuter,2024-02-13 10:00:00,1,1,0.066351965,2.2252345e-05,0.06632971
commuter,2024-02-13 10:15:00,1,1,0.017124979,2.4536137e-05,0.017100442
commuter,2024-02-13 10:30:00,1,1,0.009357483,1.5955637e-05,0.009341528
commuter,2024-02-13 10:45:00,1,1,0.018338457,1.2164468e-05,0.018326292
commuter,2024-02-13 11:00:00,1,1,0.0036167689,1.3725101e-05,0.0036030437
