persona_label,target_timestamp,membership_true,membership_pred,attack_score,binary_loss,continuous_loss
retiree,2024-02-12 00:15:00,1,1,0.0034696935,9.496159e-05,0.0033747319
retiree,2024-02-12 00:30:00,1,1,0.0035001778,9.9251294e-05,0.0034009265
retiree,2024-02-12 00:45:00,1,1,0.00036319706,0.00010374867,0.0002594484
retiree,2024-02-12 01:00:00,1,1,0.00084566546,0.00011110868,0.00073455676
retiree,2024-02-12 01:15:00,1,1,0.0065722377,0.00012956184,0.006442676
retiree,2024-02-12 01:30:00,1,1,0.0002947765,0.00014360176,0.00015117473
retiree,2024-02-12 01:45:00,1,1,0.0035518988,0.0001541642,0.0033977346
retiree,2024-02-12 02:00:00,1,1,0.0017450624,0.00018488371,0.0015601787
retiree,2024-02-12 02:15:00,1,1,0.010799748,0.00021229663,0.010587451
retiree,2024-02-12 02:30:00,1,1,0.0011740958,0.00025459984,0.000919496
retiree,2024-02-12 02:45:00,1,1,0.0013308055,0.00029734423,0.0010334613
retiree,2024-02-12 03:00:00,1,1,0.009026695,0.0003495505,0.008677145
retiree,2024-02-12 03:15:00,1,1,0.00412473,0.0004491755,0.0036755542
retiree,2024-02-12 03:30:00,1,1,0.002285305,0.0005836001,0.0017017048
retiree,2024-02-12 03:45:00,1,1,0.0064848135,0.0006826181,0.0058021955
retiree,2024-02-12 04:00:00,1,1,0.002801727,0.00086276693,0.00193896
retiree,2024-02-12 04:15:00,1,1,0.0018199233,0.0010958356,0.0007240877
retiree,2024-02-12 04:30:00,1,1,0.0026429978,0.0014098631,0.0012331347
retiree,2024-02-12 04:45:00,1,1,0.004330358,0.0018225844,0.0025077735
retiree,2024-02-12 05:00:00,1,1,0.003845666,0.002359741,0.0014859252
retiree,2024-02-12 05:15:00,1,1,0.004407255,0.0034209671,0.000986288
retiree,2024-02-12 05:30:00,1,1,0.0052547147,0.004466786,0.0007879289
retiree,2024-02-12 05:45:00,1,1,0.006782307,0.0058365213,0.0009457857
retiree,2024-02-12 06:00:00,1,1,0.010613958,0.007577043,0.0030369156
retiree,2024-02-12 06:15:00,1,1,0.0153623605,0.011049388,0.0043129725
retiree,2024-02-12 06:30:00,1,1,0.018213866,0.014182089,0.0040317774
retiree,2024-02-12 06:45:00,1,1,0.02426952,0.017750937,0.0065185814
retiree,2024-02-12 07:00:00,1,1,0.20790578,0.20273322,0.0051725637
retiree,2024-02-12 07:15:00,1,1,0.060351644,0.057197966,0.0031536778
retiree,2024-02-12 07:30:00,1,1,0.029793378,0.028078074,0.0017153037
retiree,2024-02-12 07:45:00,1,1,0.047968812,0.04572273,0.0022460825
retiree,2024-02-12 08:00:00,1,1,0.23460603,0.23372391,0.0008821139
retiree,2024-02-12 08:15:00,1,1,0.13931233,0.13795318,0.001359153
retiree,2024-02-12 08:30:00,1,1,0.10674905,0.1012288,0.005520245
retiree,2024-02-12 08:45:00,1,1,0.041403025,0.011687916,0.029715111
retiree,2024-02-12 09:00:00,1,1,0.025031313,0.010667672,0.01436364
retiree,2024-02-12 09:15:00,1,1,0.018244324,0.010852796,0.0073915287
retiree,2024-02-12 09:30:00,1,1,0.027176844,0.013268159,0.013908685
retiree,2024-02-12 09:45:00,1,1,0.05519575,0.019850912,0.035344835
retiree,2024-02-12 10:00:00,1,1,0.021499828,0.017470477,0.004029351
retiree,2024-02-12 10:15:00,1,1,0.05750338,0.043552883,0.013950498
retiree,2024-02-12 10:30:00,1,1,0.022502795,0.013084233,0.009418562
retiree,2024-02-12 10:45:00,1,1,0.017450742,0.012895281,0.0045554605
retiree,2024-02-12 11:00:00,1,1,0.017145215,0.01014391,0.007001305
retiree,2024-02-12 11:15:00,1,1,0.021758541,0.008366775,0.013391767
retiree,2024-02-12 11:30:00,1,1,0.013015019,0.00694902,0.006065998
retiree,2024-02-12 11:45:00,1,1,0.27838677,0.27459022,0.0037965586
retiree,2024-02-12 12:00:00,1,1,0.16714525,0.15803331,0.0091119455
retiree,2024-02-12 12:15:00,1,1,0.04171611,0.037835505,0.0038806063
retiree,2024-02-12 12:30:00,1,1,0.02915766,0.01993193,0.009225731
retiree,2024-02-12 12:45:00,1,1,0.026148163,0.020449657,0.005698506
retiree,2024-02-12 13:00:00,1,1,0.027306037,0.020570721,0.006735315
retiree,2024-02-12 13:15:00,1,1,0.04340013,0.020775227,0.022624902
retiree,2024-02-12 13:30:00,1,1,0.05965507,0.022768607,0.036886465
retiree,2024-02-12 13:45:00,1,1,0.13692252,0.12656166,0.010360871
retiree,2024-02-12 14:00:00,1,1,0.24558923,0.23083954,0.014749688
retiree,2024-02-12 14:15:00,1,1,0.20467769,0.19769344,0.006984247
retiree,2024-02-12 14:30:00,1,1,0.018926771,0.011779593,0.007147178
retiree,2024-02-12 14:45:00,1,1,0.013839393,0.011884826,0.0019545667
retiree,2024-02-12 15:00:00,1,1,0.09123037,0.08986303,0.0013673404
retiree,2024-02-12 15:15:00,1,1,0.015907507,0.014790345,0.001117163
retiree,2024-02-12 15:30:00,1,1,0.040902495,0.022011328,0.018891167
retiree,2024-02-12 15:45:00,1,1,0.027468443,0.026995854,0.00047258753
retiree,2024-02-12 16:00:00,1,1,0.032440484,0.027130717,0.0053097648
retiree,2024-02-12 16:15:00,1,1,0.04070752,0.031246664,0.009460858
retiree,2024-02-12 16:30:00,1,1,0.5986569,0.59522456,0.0034323446
retiree,2024-02-12 16:45:00,1,1,0.024195556,0.016074995,0.008120562
retiree,2024-02-12 17:00:00,1,1,0.10970073,0.108905196,0.00079553464
retiree,2024-02-12 17:15:00,1,1,0.15480752,0.14990467,0.0049028574
retiree,2024-02-12 17:30:00,1,1,0.029979514,0.027244514,0.0027350003
retiree,2024-02-12 17:45:00,1,1,0.024655348,0.023625337,0.0010300111
retiree,2024-02-12 18:00:00,1,1,0.029687881,0.02082722,0.008860662
retiree,2024-02-12 18:15:00,1,1,0.019877099,0.017661436,0.002215664
retiree,2024-02-12 18:30:00,1,1,0.016763987,0.015523541,0.0012404454
retiree,2024-02-12 18:45:00,1,1,0.015702449,0.014261509,0.0014409401
retiree,2024-02-12 19:00:00,1,1,0.014583915,0.013402387,0.0011815277
retiree,2024-02-12 19:15:00,1,1,0.013225764,0.012807946,0.00041781785
retiree,2024-02-12 19:30:00,1,1,0.016380893,0.012843947,0.0035369454
retiree,2024-02-12 19:45:00,1,1,0.020140685,0.013557924,0.0065827607
retiree,2024-02-12 20:00:00,1,1,0.02011304,0.014834015,0.0052790255
retiree,2024-02-12 20:15:00,1,1,0.020034071,0.016663013,0.0033710587
retiree,2024-02-12 20:30:00,1,1,0.02291119,0.019471115,0.0034400744
retiree,2024-02-12 20:45:00,1,1,0.039518997,0.023575796,0.0159432
retiree,2024-02-12 21:00:00,1,1,0.37181914,0.3612806,0.010538536
retiree,2024-02-12 21:15:00,1,1,0.09875711,0.090082355,0.008674753
retiree,2024-02-12 21:30:00,1,1,0.09404602,0.08804278,0.006003237
retiree,2024-02-12 21:45:00,1,1,0.048242252,0.044009358,0.0042328956
retiree,2024-02-12 22:00:00,1,1,0.0053148656,0.0048916554,0.00042321035
retiree,2024-02-12 22:15:00,1,1,0.0033799512,0.0019088015,0.0014711497
retiree,2024-02-12 22:30:00,1,1,0.007514121,0.0018472975,0.0056668236
retiree,2024-02-12 22:45:00,1,1,0.0063456553,0.0016587749,0.0046868804
retiree,2024-02-12 23:00:00,1,1,0.006248287,0.0016930016,0.0045552854
retiree,2024-02-12 23:15:00,1,1,0.0039270213,0.0015714257,0.0023555958
