persona_label,target_timestamp,membership_true,membership_pred,attack_score,binary_loss,continuous_loss
student,2024-02-12 00:15:00,1,1,0.07923768,0.075416096,0.003821579
student,2024-02-12 00:30:00,1,1,0.15126508,0.14629441,0.0049706637
student,2024-02-12 00:45:00,1,1,0.065932125,0.055554237,0.010377891
student,2024-02-12 01:00:00,1,1,0.052647702,0.050393894,0.0022538062
student,2024-02-12 01:15:00,1,1,0.012556955,0.012059158,0.0004977974
student,2024-02-12 01:30:00,1,1,0.013242923,0.0037392313,0.009503691
student,2024-02-12 01:45:00,1,1,0.009537693,0.0033924615,0.0061452314
student,2024-02-12 02:00:00,1,1,0.009385282,0.003105477,0.006279805
student,2024-02-12 02:15:00,1,1,0.004479027,0.0028401744,0.0016388526
student,2024-02-12 02:30:00,1,1,0.0058099935,0.0027118823,0.0030981114
student,2024-02-12 02:45:00,1,1,0.010886002,0.002683826,0.008202177
student,2024-02-12 03:00:00,1,1,0.004157173,0.001999559,0.0021576139
student,2024-02-12 03:15:00,1,1,0.0062686503,0.0022370645,0.0040315855
student,2024-02-12 03:30:00,1,1,0.007847872,0.0022392091,0.005608663
student,2024-02-12 03:45:00,1,1,0.005289332,0.0015488655,0.0037404664
student,2024-02-12 04:00:00,1,1,0.0046806145,0.0012342937,0.0034463208
student,2024-02-12 04:15:00,1,1,0.007956513,0.0013617127,0.006594801
student,2024-02-12 04:30:00,1,1,0.0042413417,0.00094223337,0.0032991085
student,2024-02-12 04:45:00,1,1,0.0032243575,0.0008755391,0.0023488184
student,2024-02-12 05:00:00,1,1,0.003171649,0.00089581514,0.0022758339
student,2024-02-12 05:15:00,1,1,0.004644777,0.00078626204,0.003858515
student,2024-02-12 05:30:00,1,1,0.008360655,0.0007842907,0.0075763646
student,2024-02-12 05:45:00,1,1,0.21334961,0.20443997,0.008909647
student,2024-02-12 06:00:00,1,1,0.0024833397,0.00057606347,0.0019072763
student,2024-02-12 06:15:00,1,1,0.0069059785,0.00092128036,0.005984698
student,2024-02-12 06:30:00,1,1,0.004287021,0.000876307,0.0034107137
student,2024-02-12 06:45:00,1,1,0.0031020236,0.0009268704,0.0021751532
student,2024-02-12 07:00:00,1,1,0.014692871,0.0012406617,0.0134522095
student,2024-02-12 07:15:00,1,1,0.0041303695,0.0010968518,0.0030335176
student,2024-02-12 07:30:00,1,1,0.016440596,0.001325991,0.015114606
student,2024-02-12 07:45:00,1,1,0.026353171,0.005201928,0.021151243
student,2024-02-12 08:00:00,1,1,0.005089171,0.0044208826,0.0006682886
student,2024-02-12 08:15:00,1,1,0.028944867,0.012042457,0.01690241
student,2024-02-12 08:30:00,1,1,0.012637687,0.0064436393,0.0061940476
student,2024-02-12 08:45:00,1,1,0.023701904,0.003637832,0.020064073
student,2024-02-12 09:00:00,1,1,0.012786082,0.0036084147,0.009177667
student,2024-02-12 09:15:00,1,1,0.0072091967,0.006577651,0.00063154567
student,2024-02-12 09:30:00,1,1,0.35332695,0.35126138,0.0020655734
student,2024-02-12 09:45:00,1,1,0.053053286,0.050941713,0.002111572
student,2024-02-12 10:00:00,1,1,0.021648996,0.020613635,0.0010353603
student,2024-02-12 10:15:00,1,1,0.039400633,0.037918873,0.0014817616
student,2024-02-12 10:30:00,1,1,0.031205734,0.025404392,0.005801343
student,2024-02-12 10:45:00,1,1,0.2485449,0.2473927,0.0011522068
student,2024-02-12 11:00:00,1,1,0.090892226,0.07696724,0.013924986
student,2024-02-12 11:15:00,1,1,0.096008115,0.0926099,0.0033982184
student,2024-02-12 11:30:00,1,1,0.017665226,0.014911249,0.0027539777
student,2024-02-12 11:45:00,1,1,0.014949762,0.014194136,0.00075562653
student,2024-02-12 12:00:00,1,1,0.02171608,0.014500424,0.0072156563
student,2024-02-12 12:15:00,1,1,0.26559848,0.26497746,0.00062102993
student,2024-02-12 12:30:00,1,1,0.18758708,0.1000196,0.087567486
student,2024-02-12 12:45:00,1,1,0.07917373,0.03265743,0.046516296
student,2024-02-12 13:00:00,1,1,0.047179695,0.014065863,0.033113834
student,2024-02-12 13:15:00,1,1,0.015336675,0.0143825915,0.0009540829
student,2024-02-12 13:30:00,1,1,0.016663916,0.013611204,0.0030527124
student,2024-02-12 13:45:00,1,1,0.013805832,0.01372443,8.140125e-05
student,2024-02-12 14:00:00,1,1,0.01484262,0.013782592,0.0010600282
student,2024-02-12 14:15:00,1,1,0.02230861,0.014163906,0.008144705
student,2024-02-12 14:30:00,1,1,0.022778455,0.01474821,0.008030246
student,2024-02-12 14:45:00,1,1,0.035667993,0.015806489,0.019861504
student,2024-02-12 15:00:00,1,1,0.045842446,0.014464476,0.03137797
student,2024-02-12 15:15:00,1,1,0.017760549,0.016218944,0.0015416046
student,2024-02-12 15:30:00,1,1,0.14446844,0.14245364,0.0020147983
student,2024-02-12 15:45:00,1,1,0.23470871,0.21995369,0.014755028
student,2024-02-12 16:00:00,1,1,0.09018093,0.08828031,0.001900623
student,2024-02-12 16:15:00,1,1,0.011994126,0.0055478658,0.0064462605
student,2024-02-12 16:30:00,1,1,0.017800575,0.0047048577,0.013095718
student,2024-02-12 16:45:00,1,1,0.008398824,0.004545687,0.0038531374
student,2024-02-12 17:00:00,1,1,0.009155885,0.0048622447,0.0042936406
