persona_label,target_timestamp,membership_true,membership_pred,attack_score,binary_loss,continuous_loss
commuter,2024-02-12 00:15:00,1,1,1038.4622,1.3708075,1037.0913
commuter,2024-02-12 00:30:00,1,1,1034.1833,1.3660434,1032.8173
commuter,2024-02-12 00:45:00,1,1,1000.70233,1.3797892,999.3226
commuter,2024-02-12 01:00:00,1,1,1039.9792,1.3564733,1038.6228
commuter,2024-02-12 01:15:00,1,1,1028.0728,1.3526154,1026.7201
commuter,2024-02-12 01:30:00,1,1,1014.47894,1.3476461,1013.1313
commuter,2024-02-12 01:45:00,1,1,984.8345,1.3626341,983.47186
commuter,2024-02-12 02:00:00,1,1,1000.19196,1.3420414,998.8499
commuter,2024-02-12 02:15:00,1,1,1000.1676,1.3309832,998.8366
commuter,2024-02-12 02:30:00,1,1,984.23816,1.3259602,982.9122
commuter,2024-02-12 02:45:00,1,1,964.90735,1.333322,963.57404
commuter,2024-02-12 03:00:00,1,1,976.76166,1.3194664,975.4422
commuter,2024-02-12 03:15:00,1,1,954.83246,1.3229018,953.5096
commuter,2024-02-12 03:30:00,1,1,952.8398,1.3185109,951.5213
commuter,2024-02-12 03:45:00,1,1,913.73676,1.3449212,912.39185
commuter,2024-02-12 04:00:00,1,1,923.03937,1.330675,921.7087
commuter,2024-02-12 04:15:00,1,1,905.2144,1.3423144,903.87213
commuter,2024-02-12 04:30:00,1,1,944.7939,1.3177861,943.4761
commuter,2024-02-12 04:45:00,1,1,920.6827,1.3217522,919.3609
commuter,2024-02-12 05:00:00,1,1,949.00916,1.312866,947.6963
commuter,2024-02-12 05:15:00,1,1,942.2168,1.3144112,940.9024
commuter,2024-02-12 05:30:00,1,1,932.4258,1.3140383,931.11176
commuter,2024-02-12 05:45:00,1,1,888.7969,1.3145375,887.48236
commuter,2024-02-12 06:00:00,1,1,886.80664,1.312304,885.4943
commuter,2024-02-12 06:15:00,1,1,927.2562,1.3050736,925.9512
commuter,2024-02-12 06:30:00,1,1,846.05554,1.5353172,844.5202
commuter,2024-02-12 06:45:00,1,1,1246.6282,3.5069537,1243.1212
commuter,2024-02-12 07:00:00,1,1,1464.4369,4.062975,1460.3739
commuter,2024-02-12 07:15:00,1,1,1970.5974,4.879228,1965.7181
commuter,2024-02-12 07:30:00,1,1,897.04614,2.644808,894.4013
commuter,2024-02-12 07:45:00,1,1,479.3717,2.7910292,476.5807
commuter,2024-02-12 08:00:00,1,1,484.5787,2.8956008,481.6831
commuter,2024-02-12 08:15:00,1,1,442.38712,3.1795833,439.20752
commuter,2024-02-12 08:30:00,1,1,499.6051,2.8910778,496.71402
commuter,2024-02-12 08:45:00,1,1,482.08905,2.8510053,479.23804
commuter,2024-02-12 09:00:00,1,1,460.86127,2.8471935,458.01407
commuter,2024-02-12 09:15:00,1,1,402.8855,2.6364856,400.24902
commuter,2024-02-12 09:30:00,1,1,379.97302,2.6633096,377.30972
commuter,2024-02-12 09:45:00,1,1,296.55057,2.385771,294.1648
commuter,2024-02-12 10:00:00,1,1,274.22675,2.3791835,271.84756
commuter,2024-02-12 10:15:00,1,1,277.84204,2.4166644,275.42538
commuter,2024-02-12 10:30:00,1,1,256.5742,2.422259,254.15193
commuter,2024-02-12 10:45:00,1,1,233.56233,2.4296906,231.13264
commuter,2024-02-12 11:00:00,1,1,234.86765,2.4491959,232.41846
commuter,2024-02-12 11:15:00,1,1,227.41878,2.4677806,224.951
commuter,2024-02-12 11:30:00,1,1,225.04465,2.4499161,222.59473
commuter,2024-02-12 11:45:00,1,1,236.51329,2.4295964,234.0837
commuter,2024-02-12 12:00:00,1,1,229.05429,2.4527192,226.60158
commuter,2024-02-12 12:15:00,1,1,237.1734,2.4473836,234.72601
commuter,2024-02-12 12:30:00,1,1,232.84952,2.4502072,230.3993
commuter,2024-02-12 12:45:00,1,1,257.73035,2.4492424,255.28111
commuter,2024-02-12 13:00:00,1,1,253.68918,2.422389,251.26678
commuter,2024-02-12 13:15:00,1,1,263.0134,2.414646,260.59875
commuter,2024-02-12 13:30:00,1,1,278.75378,2.3874202,276.36636
commuter,2024-02-12 13:45:00,1,1,291.49133,2.3451216,289.1462
commuter,2024-02-12 14:00:00,1,1,320.7308,2.3551166,318.3757
commuter,2024-02-12 14:15:00,1,1,334.19858,2.305452,331.89313
commuter,2024-02-12 14:30:00,1,1,368.88675,2.3420694,366.54468
